essay_id,prompt_id,readability grades-Kincaid,readability grades-ARI,readability grades-Coleman-Liau,readability grades-FleschReadingEase,readability grades-GunningFogIndex,readability grades-LIX,readability grades-SMOGIndex,readability grades-RIX,readability grades-DaleChallIndex,sentence info-characters_per_word,sentence info-syll_per_word,sentence info-words_per_sentence,sentence info-sentences_per_paragraph,sentence info-type_token_ratio,sentence info-characters,sentence info-syllables,sentence info-words,sentence info-wordtypes,sentence info-sentences,sentence info-paragraphs,sentence info-long_words,sentence info-complex_words,sentence info-complex_words_dc,word usage-tobeverb,word usage-auxverb,word usage-conjunction,word usage-pronoun,word usage-preposition,word usage-nominalization,sentence beginnings-pronoun,sentence beginnings-interrogative,sentence beginnings-article,sentence beginnings-subordination,sentence beginnings-conjunction,sentence beginnings-preposition
1,1,6.442726838586442,8.22458771092009,7.590968461318052,83.40513451130215,10.7354982489653,36.58086596625279,9.582805886043833,3.3333333333333335,7.9914553645335875,4.237822349570201,1.2263610315186246,19.38888888888889,18.0,0.4899713467048711,1479,428,349,171,18,1,60,26,75,10,4,14,45,55,3,2,2,0,3,0,0
2,1,7.878857142857147,8.803518207282913,7.847658788235297,74.62133333333335,12.707002801120447,39.296918767507,11.366600265340756,3.857142857142857,8.80143893557423,4.270588235294118,1.32,20.238095238095237,21.0,0.47294117647058825,1815,561,425,201,21,1,81,49,112,8,16,18,52,57,9,4,1,2,1,0,0
3,1,6.069361888111889,7.632045454545455,7.666963279720285,83.38558129370631,11.485664335664337,36.05681818181819,10.623975340988453,3.25,8.884673426573425,4.2727272727272725,1.2447552447552448,17.875,16.0,0.541958041958042,1222,356,286,155,16,1,52,31,79,11,4,16,23,35,1,1,1,1,1,1,1
4,1,7.609361471861472,10.4156737012987,10.615146232954547,74.09386363636365,12.845887445887445,43.099567099567096,11.660254037844387,4.571428571428571,10.014579437229438,4.759469696969697,1.3428030303030303,18.857142857142858,28.0,0.4602272727272727,2513,709,528,243,28,1,128,70,182,22,15,17,36,57,16,1,2,4,2,0,3
5,1,6.042117647058827,6.768207282913163,7.632633915966387,80.00386274509805,11.052549019607845,34.14397759103642,10.483314773547882,2.9,7.707541288515406,4.302521008403361,1.3088235294117647,15.866666666666667,30.0,0.4369747899159664,2048,623,476,208,30,1,87,56,99,25,24,15,36,57,11,7,0,7,4,0,4
6,1,4.905928643724696,5.205025303643723,5.897235319838057,87.3853706983806,9.899696356275305,30.012398785425102,9.566962768281849,2.25,7.08713927125506,4.016194331983805,1.2267206477732793,15.4375,16.0,0.5263157894736842,992,303,247,130,16,1,36,23,42,7,5,9,40,33,4,2,1,0,1,0,2
7,1,6.732452054794521,7.548897586431835,8.006731851272015,77.1324680365297,11.35345075016308,33.66738421395956,10.615773105863909,2.8333333333333335,8.498378773646444,4.344422700587084,1.3287671232876712,17.033333333333335,30.0,0.45401174168297453,2220,679,511,232,30,1,85,58,130,19,19,16,69,64,5,2,1,2,0,0,6
8,1,4.423193612774455,5.29966374942423,7.246250371257489,86.23088438507601,9.210317825886689,29.213419315215724,9.263447072560702,2.1025641025641026,7.929637294641487,4.311377245508982,1.2714570858283434,12.846153846153847,39.0,0.437125748502994,2160,637,501,219,39,1,82,51,116,18,8,19,61,64,15,12,2,6,2,0,1
9,1,4.504036261331667,4.526033135354798,6.185988855579872,86.02707658643328,9.074060643951235,28.15561112847765,9.141195788629908,1.9714285714285715,8.119342163175993,4.12472647702407,1.2713347921225382,13.057142857142857,35.0,0.49015317286652077,1885,581,457,224,35,1,69,44,111,13,12,22,42,48,7,4,1,3,0,4,6
10,1,6.051877394636019,7.222886825817859,5.963302001915711,87.4327851458886,10.942646625405246,31.954317712938405,9.621642835894566,2.3846153846153846,7.687468641320366,3.9521072796934864,1.1704980842911878,20.076923076923077,26.0,0.421455938697318,2063,611,522,220,26,1,62,38,101,22,5,25,59,69,4,7,0,5,0,0,2
11,1,7.352121212121215,8.63518181818182,10.396542275757575,69.06818181818184,11.939393939393941,37.72727272727273,11.17423891369599,3.409090909090909,9.500287878787878,4.790909090909091,1.4484848484848485,15.0,22.0,0.6393939393939394,1581,478,330,211,22,1,75,49,107,18,8,10,32,43,6,9,1,0,1,0,1
12,1,6.045388235294119,6.828308823529415,7.47649646813726,80.78784705882353,11.233882352941178,35.927843137254904,10.58946638440411,3.2,8.703079843137255,4.267156862745098,1.2941176470588236,16.32,25.0,0.4019607843137255,1741,528,408,164,25,1,80,48,110,25,6,13,37,33,3,5,1,0,1,1,1
13,1,12.130784313725492,13.948235294117644,6.271929901960785,68.64852941176471,16.737254901960785,43.80392156862745,11.94427190999916,3.3333333333333335,9.347801960784313,3.9019607843137254,1.2254901960784315,34.0,6.0,0.5980392156862745,796,250,204,122,6,1,20,16,52,10,7,12,31,16,1,0,1,3,0,0,0
14,1,4.727538762214984,4.4398371335504905,6.420063706840395,83.04050684039089,9.211674267100978,27.915179153094464,9.292853089020909,1.92,9.286044026058631,4.188925081433225,1.3159609120521172,12.28,25.0,0.4364820846905538,1286,404,307,134,25,1,48,33,98,15,4,17,39,38,1,9,0,2,0,0,4
15,1,6.518409090909092,6.587753496503499,8.539917897727271,72.4423251748252,10.415384615384617,32.85664335664335,10.125253031944252,2.6153846153846154,7.896644055944056,4.511363636363637,1.4261363636363635,13.538461538461538,13.0,0.5625,794,251,176,99,13,1,34,22,40,9,6,8,14,27,1,2,0,0,0,0,1
16,1,7.376662216288384,8.67999732977303,10.31101834018692,69.40112149532712,11.721762349799732,35.65954606141522,11.017837257372731,3.1142857142857143,9.175942456608812,4.770093457943926,1.4411214953271028,15.285714285714286,35.0,0.4766355140186916,2552,771,535,255,35,1,109,75,162,16,22,20,39,76,17,4,1,2,2,0,2
17,1,6.25629990714949,7.146066233364284,5.94030373816156,85.73122175796969,11.988919839059115,32.200711853915195,10.745966692414834,2.4444444444444446,8.188390683998762,3.949860724233983,1.192200557103064,19.944444444444443,18.0,0.415041782729805,1418,428,359,149,18,1,44,36,81,11,14,14,57,41,1,8,1,2,1,0,1
18,1,7.930674083769635,9.483128272251307,6.648657280104715,80.72752945026178,12.691361256544504,36.178664921465966,10.5,2.9375,7.879495811518325,4.028795811518324,1.2041884816753927,23.875,8.0,0.45549738219895286,1539,460,382,174,16,2,47,30,74,17,12,24,51,34,1,3,1,1,0,1,3
19,1,2.926536796536798,4.051103896103896,6.985948742424245,90.87409090909094,8.013852813852813,26.095238095238095,8.477225575051662,1.5714285714285714,12.956126839826839,4.409090909090909,1.2575757575757576,9.428571428571429,7.0,0.803030303030303,291,83,66,53,7,1,11,7,37,4,0,1,4,5,0,1,0,2,0,0,0
20,1,5.396628308400462,5.933273878020714,7.333367183544304,81.95464326812429,10.049252013808976,31.45224395857307,9.809084840390547,2.4545454545454546,9.345771806674339,4.284810126582278,1.3037974683544304,14.363636363636363,11.0,0.5949367088607594,677,206,158,94,11,1,27,17,50,4,9,8,14,18,3,6,0,0,0,0,1
21,1,8.15723569482289,8.805245231607628,8.877915049046322,69.26261103542234,13.22555858310627,38.51348773841962,12.0,3.7,7.816523760217984,4.471389645776567,1.4059945504087195,18.35,20.0,0.5149863760217984,1641,516,367,189,20,1,74,54,76,15,10,12,46,44,2,0,0,1,1,0,5
22,1,10.501428571428573,14.269642857142856,10.231820964285717,69.64357142857143,14.057142857142857,40.5,10.745966692414834,3.5,7.844942857142858,4.607142857142857,1.2857142857142858,28.0,2.0,0.6785714285714286,258,72,56,38,2,1,7,4,10,0,1,3,5,9,0,0,0,0,0,0,0
23,1,5.538516853932588,7.438988764044943,7.465795745318356,87.05788764044945,10.940224719101124,36.15205992509364,10.14142842854285,3.2666666666666666,8.422526067415731,4.239700374531835,1.202247191011236,17.8,30.0,0.41385767790262173,2264,642,534,221,30,1,98,51,132,9,15,30,75,76,7,10,0,1,1,0,3
24,1,5.185148861646237,6.701948897570617,8.158846005253942,83.96490188153936,9.709299923660694,33.38007993174368,9.504436355879909,2.7435897435897436,8.870172980376307,4.418563922942207,1.276707530647986,14.64102564102564,39.0,0.43782837127845886,2523,729,571,250,39,1,107,55,163,8,24,18,62,81,17,11,0,4,3,1,7
25,1,6.908222789115648,9.28892857142857,9.468322748299322,78.26192602040817,11.431632653061225,40.14370748299319,10.5,4.0,8.092593877551021,4.571428571428571,1.2993197278911566,18.375,16.0,0.445578231292517,1344,382,294,131,16,1,64,30,66,8,10,14,25,42,6,2,0,2,4,0,0
26,1,5.723957810145656,7.0034329482672035,7.6259596546961355,83.33197890507283,10.78071320944249,33.85786037167253,10.198484689028783,2.8636363636363638,8.814523907584128,4.290055248618785,1.2624309392265194,16.454545454545453,22.0,0.46685082872928174,1553,457,362,169,22,1,63,38,100,11,10,22,55,42,1,8,0,1,0,1,0
27,1,5.908782201405156,6.819203747072599,6.888488180327872,83.74172131147542,10.905854800936769,31.362997658079625,10.171371656006361,2.4285714285714284,9.030875175644027,4.147540983606557,1.2459016393442623,17.428571428571427,7.0,0.5655737704918032,506,152,122,69,7,1,17,12,35,10,6,4,12,11,2,1,0,1,1,0,0
28,1,5.124952633573326,5.911466464569912,8.13976278021978,80.6752197802198,9.08662372110648,31.782493368700266,9.186748909481096,2.413793103448276,8.553598484274346,4.472527472527473,1.3406593406593406,12.551724137931034,29.0,0.532967032967033,1628,488,364,194,29,1,70,37,99,13,11,15,38,53,4,3,0,1,5,1,7
29,1,5.84122898550725,7.1070539130434796,7.832504621333332,82.22368695652176,10.255072463768116,32.83768115942029,9.756639246921761,2.6956521739130435,8.40322231884058,4.328,1.2773333333333334,16.304347826086957,23.0,0.456,1623,479,375,171,23,1,62,35,94,24,5,15,48,51,6,6,0,0,4,0,2
30,1,6.820164794007493,7.491910112359548,7.531861486891387,77.86912359550561,10.266067415730339,35.028464419475654,9.48074069840786,3.066666666666667,9.013911835205992,4.250936329588015,1.3108614232209739,17.8,15.0,0.4606741573033708,1135,350,267,123,15,1,46,21,76,8,5,11,34,32,0,3,0,1,1,0,0
31,1,4.72256596465747,5.196688453159041,6.447206267489715,86.66350762527236,9.421350762527235,30.96078431372549,9.301260378126045,2.3823529411764706,8.406702227063665,4.135802469135802,1.2489711934156378,14.294117647058824,34.0,0.4794238683127572,2010,607,486,233,34,1,81,45,125,11,7,21,77,37,3,10,1,0,2,1,3
32,1,4.298977045908185,5.8067165668662675,7.388211023952099,89.02814620758485,9.478842315369262,31.481536926147704,9.390096504226939,2.4444444444444446,8.10880259481038,4.3053892215568865,1.2255489021956087,13.916666666666666,36.0,0.46107784431137727,2157,614,501,231,36,1,88,49,120,25,12,25,68,63,5,7,1,0,2,1,5
33,1,4.746482035928146,5.8913273453093815,7.493837089820364,85.81976297405191,8.201397205588822,29.485528942115767,8.244044240850759,2.1666666666666665,8.392455289421157,4.323353293413174,1.2634730538922156,13.916666666666666,12.0,0.6047904191616766,722,211,167,101,12,1,26,11,43,8,3,7,15,22,3,2,0,0,0,1,1
34,1,4.266489361702131,4.0645458265139105,4.953327590425534,90.23153846153848,8.337806873977087,29.887070376432078,8.262348115842176,2.230769230769231,8.76323379705401,3.877659574468085,1.2047872340425532,14.461538461538462,26.0,0.4627659574468085,1458,453,376,174,26,1,58,24,105,8,13,16,35,38,5,7,0,4,4,1,0
35,1,4.961004784688999,5.208165869218501,7.2114238995215345,82.0553668261563,9.085805422647528,27.97767145135566,9.179143806533247,1.9393939393939394,7.437876714513557,4.311004784688995,1.3229665071770336,12.666666666666666,33.0,0.4258373205741627,1802,553,418,178,33,1,64,42,84,14,14,9,53,53,4,13,3,1,0,0,1
36,1,7.21938756855576,9.324148502320348,8.053639455210241,80.77492863169738,11.194178034031783,36.394951483616936,9.621642835894566,3.230769230769231,8.779057052453943,4.296160877513711,1.2376599634369287,21.03846153846154,26.0,0.4369287020109689,2350,677,547,239,26,1,84,38,142,30,9,17,79,79,10,8,0,2,4,1,4
37,1,5.685449777078418,6.542130212431154,7.348225396341466,82.56865066876476,9.763021243115658,32.74088644112248,9.37535577754862,2.6774193548387095,8.050265040650407,4.254065040650406,1.2784552845528456,15.870967741935484,31.0,0.4959349593495935,2093,629,492,244,31,1,83,42,113,22,15,18,66,55,7,11,0,0,3,1,2
38,1,8.844385026737971,8.833395721925136,7.6259986363636365,68.53216577540108,13.509625668449198,39.73997326203209,12.00979858755096,3.9411764705882355,8.297006082887702,4.2272727272727275,1.3863636363636365,20.705882352941178,17.0,0.4715909090909091,1488,488,352,166,17,1,67,46,81,15,13,8,49,43,8,4,0,3,1,0,0
39,1,6.92455067264574,7.58670403587444,7.628959347533634,77.1919739910314,10.992502242152467,32.862421524663674,10.183313998427188,2.68,7.884704807174888,4.266816143497758,1.3183856502242153,17.84,25.0,0.46860986547085204,1903,588,446,209,25,1,67,43,95,5,5,27,49,58,2,3,0,2,0,1,1
40,1,4.2849948186528515,4.57545768566494,6.333036943005183,87.25823488773749,9.706252158894646,29.44697754749568,9.6332495807108,2.1333333333333333,7.874479412780657,4.155440414507772,1.2590673575129534,12.866666666666667,15.0,0.5958549222797928,802,243,193,115,15,1,32,22,44,4,2,5,27,30,4,7,1,0,0,0,0
41,1,4.418048780487805,5.736747967479676,7.418020073170737,87.72918699186994,11.320325203252033,30.739837398373986,10.745966692414834,2.3333333333333335,7.010220325203252,4.317073170731708,1.2439024390243902,13.666666666666666,3.0,0.7560975609756098,177,51,41,31,3,1,7,6,7,1,2,1,3,7,0,1,0,0,0,0,0
42,1,6.486329365079367,8.07186011904762,6.749900878472225,85.19875,10.867460317460319,33.4186507936508,9.380774695464941,2.642857142857143,7.94642619047619,4.079861111111111,1.1909722222222223,20.571428571428573,14.0,0.46875,1175,343,288,135,14,1,37,19,60,16,7,13,41,37,0,2,0,0,2,2,0
43,1,6.237089041095892,7.6963698630137,7.547205452054797,82.85097602739728,10.313698630136987,38.11301369863014,9.422616289332565,3.625,8.759576712328768,4.2465753424657535,1.2465753424657535,18.25,8.0,0.6027397260273972,620,182,146,88,8,1,29,11,39,4,4,6,15,17,2,1,0,2,0,0,1
44,1,2.4705158730158736,3.1546190476190468,5.237949104761906,97.38767857142858,8.30952380952381,23.63095238095238,8.669467095138408,1.3928571428571428,7.603134920634921,4.025396825396825,1.1587301587301588,11.25,28.0,0.36507936507936506,1268,365,315,115,28,1,39,30,68,7,2,4,26,56,0,6,0,2,0,0,1
45,1,4.275348024316113,5.821109422492405,6.152315693009122,93.70967857142858,9.741094224924012,29.823860182370822,9.244997998398398,2.2,8.195945835866262,4.03951367781155,1.1398176291793314,16.45,20.0,0.47416413373860183,1329,375,329,156,20,1,44,26,78,7,4,22,32,30,7,3,2,1,1,3,0
46,1,7.766592833876221,8.824668838219324,7.747718328990231,75.8333203040174,11.44399565689468,37.73051031487513,10.071067811865476,3.533333333333333,9.074903995656895,4.250814332247557,1.3029315960912051,20.466666666666665,7.5,0.3550488599348534,1305,400,307,109,15,2,53,25,86,13,4,8,54,38,9,4,0,2,2,1,1
47,1,6.492109704641354,6.754170182841069,6.740319297468357,79.78573136427568,10.566526019690578,33.694796061884674,9.831300510639732,2.8333333333333335,7.705230239099859,4.120253164556962,1.2911392405063291,17.555555555555557,18.0,0.5379746835443038,1302,408,316,170,18,1,51,28,64,7,5,13,29,40,2,5,0,1,0,0,1
48,1,4.766918744971843,5.612145883614907,5.543000295575222,91.38086350227945,9.326360954679538,28.27165459908823,8.640760748177662,1.9090909090909092,7.196561678734246,3.9238938053097345,1.1592920353982301,17.12121212121212,33.0,0.40707964601769914,2217,655,565,230,33,1,63,35,97,26,20,16,60,91,6,12,3,1,2,1,1
49,1,5.701446540880504,5.994549266247379,8.571670194968554,75.1635744234801,9.365199161425577,30.960167714884697,9.411794687223782,2.259259259259259,7.448193501048218,4.572327044025157,1.4150943396226414,11.777777777777779,27.0,0.4748427672955975,1454,450,318,151,27,1,61,37,65,10,10,7,40,48,3,7,2,0,1,0,3
50,1,9.562740963855425,10.849337349397594,10.118152216867475,63.46049698795183,13.119277108433735,42.43674698795181,11.660254037844387,4.5,8.660760240963855,4.650602409638554,1.4457831325301205,20.75,4.0,0.7469879518072289,386,120,83,62,4,1,18,10,21,1,5,3,4,10,1,2,0,0,0,0,1
51,1,6.5540484429065735,7.4497444769763135,5.044880948096893,87.66869310620179,10.137982432792121,31.919350545648122,7.5573271518765,2.1538461538461537,6.924613281873835,3.7716262975778547,1.1418685121107266,22.23076923076923,6.5,0.3546712802768166,2180,660,578,205,26,4,56,18,80,28,16,39,89,70,0,3,0,3,6,2,4
